gene_id,LFC_DESeq2,padj_DESeq2,LFC_edgeR,padj_edgeR,mean_LFC,direction
ENSG00000152583,4.602554541,1.66E-100,4.596064131,3.05E-05,4.599309336,UP
ENSG00000179094,3.183882623,1.86E-52,3.178689137,0.000124971,3.18128588,UP
ENSG00000125148,2.203468278,5.86E-47,2.198516146,0.000124971,2.200992212,UP
ENSG00000120129,2.949012813,5.27E-45,2.94337573,0.000146054,2.946194271,UP
ENSG00000189221,3.305227365,3.36E-44,3.297926427,0.000149318,3.301576896,UP
ENSG00000109906,7.176149396,5.05E-44,7.171227418,0.000213196,7.173688407,UP
ENSG00000178695,-2.499883042,4.53E-41,-2.503943042,0.000146054,-2.501913042,DOWN
ENSG00000101347,3.857750212,3.93E-40,3.852827202,0.000302592,3.855288707,UP
ENSG00000162614,2.029958891,1.28E-37,2.024670912,0.000149318,2.027314902,UP
ENSG00000196517,-2.216939246,4.03E-37,-2.223318997,0.000146054,-2.220129122,DOWN
ENSG00000096060,3.938431015,5.12E-37,3.928640157,0.00031382,3.933535586,UP
ENSG00000162616,1.52097018,8.94E-32,1.515758816,0.000174251,1.518364498,UP
ENSG00000166741,2.162219471,4.44E-31,2.157075439,0.000302592,2.159647455,UP
ENSG00000198624,2.894946997,6.96E-28,2.889763348,0.000444013,2.892355173,UP
ENSG00000135821,3.004160071,4.27E-26,3.00030273,0.000532615,3.002231401,UP
ENSG00000163884,4.58218143,8.45E-26,4.575662111,0.000829573,4.57892177,UP
ENSG00000162692,-3.609332048,1.52E-25,-3.600048343,0.000491233,-3.604690195,DOWN
ENSG00000164647,1.556762209,1.79E-25,1.55150945,0.00031382,1.55413583,UP
ENSG00000139132,2.253936708,3.79E-25,2.24993332,0.000432079,2.251935014,UP
ENSG00000165995,3.300523652,5.83E-24,3.291124899,0.000583127,3.295824275,UP
ENSG00000145777,-2.786560709,1.01E-23,-2.789172809,0.000414599,-2.787866759,DOWN
ENSG00000116285,2.439847076,1.09E-23,2.433570391,0.000491233,2.436708734,UP
ENSG00000163491,-2.472566117,8.56E-23,-2.478685381,0.000469395,-2.475625749,DOWN
ENSG00000103196,2.700580971,2.05E-22,2.694687227,0.000633336,2.697634099,UP
ENSG00000119138,2.110139687,5.38E-22,2.104312704,0.000491233,2.107226196,UP
ENSG00000185950,2.162853426,7.25E-22,2.158164737,0.000517786,2.160509081,UP
